id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
559,-15.564074,-29.354984,6,t7,3,6
560,2.1975205,38.971962,1,t2,4,1
561,6.160569,-29.001308,7,t8,6,7
562,-0.49285975,16.526783,3,t4,2,3
563,-15.578005,-35.476185,6,t7,3,6
564,-44.207863,-1.9010684,2,t3,1,2
565,13.892179,34.62497,1,t2,4,1
566,21.575027,22.165724,4,t5,7,4
567,-4.3361206,-5.2303424,3,t4,2,3
568,10.417557,33.614307,1,t2,4,1
569,21.147709,-0.57218444,5,t6,0,5
570,28.079536,-13.063135,5,t6,0,5
571,23.010693,-8.716211,5,t6,0,5
572,-6.7979617,-3.7965488,7,t8,2,3
573,7.7246366,-25.710573,7,t8,6,7
574,-0.7356601,42.48385,1,t2,4,1
575,-23.877947,16.962063,0,t1,5,0
576,36.918888,16.100485,4,t5,7,4
577,-4.6028504,3.7255168,3,t4,2,3
578,-43.964405,-4.484195,2,t3,1,2
579,-23.958344,16.667393,0,t1,5,0
580,-35.638657,23.782682,0,t1,5,0
581,-13.637103,-28.872847,6,t7,3,6
582,-4.0382886,5.2330856,3,t4,2,3
583,-44.09798,-5.8499975,2,t3,1,2
584,-6.783804,-9.561989,3,t4,2,3
585,-29.500162,-14.34466,6,t7,3,6
586,-4.8398147,2.6645195,3,t4,2,3
587,21.23948,22.921734,4,t5,7,4
588,0.6280052,12.513405,3,t4,2,3
589,17.066765,25.984634,4,t5,7,4
590,10.531293,-32.38344,7,t8,6,7
591,-15.2897,-32.973938,6,t7,3,6
592,21.299282,22.293217,4,t5,7,4
593,-43.657375,0.073805235,2,t3,1,2
594,-30.314184,16.216688,0,t1,5,0
595,15.815704,-37.64761,7,t8,6,7
596,19.292841,-1.5014532,5,t6,0,5
597,31.82846,-10.76224,5,t6,0,5
598,21.315805,-2.0428452,5,t6,0,5
599,0.523251,10.019018,7,t8,2,3
600,-1.0913427,42.771362,1,t2,4,1
601,11.511437,35.961403,1,t2,4,1
602,34.65433,-14.264619,5,t6,0,5
603,45.412952,-11.412698,5,t6,0,5
604,30.780811,23.894764,4,t5,7,4
605,6.314393,-36.00929,7,t8,6,7
606,39.160435,-12.912891,5,t6,0,5
607,30.870121,23.428347,4,t5,7,4
608,32.42184,-10.80719,5,t6,0,5
609,-25.347425,15.410889,0,t1,5,0
610,-43.90344,-8.071965,2,t3,1,2
611,-4.7898927,-5.8789554,3,t4,2,3
612,-4.379419,-5.4279375,3,t4,2,3
613,-24.36865,16.177883,0,t1,5,0
614,2.2053823,38.9627,1,t2,4,1
615,45.49896,-10.969691,5,t6,0,5
616,-30.22063,16.322361,0,t1,5,0
617,19.161728,26.17435,4,t5,7,4
618,11.396486,-29.98383,7,t8,6,7
619,-30.457891,17.29194,0,t1,5,0
620,-20.344774,23.408194,0,t1,5,0
621,-41.729065,2.4481347,2,t3,1,2
622,10.014425,34.16827,1,t2,4,1
623,27.742727,-12.738057,5,t6,0,5
624,6.3526583,-35.553963,7,t8,6,7
625,10.500247,33.736732,1,t2,4,1
626,42.36024,-7.8905697,5,t6,0,5
627,11.742261,35.927658,1,t2,4,1
628,18.761206,-36.6509,7,t8,6,7
629,8.753238,-35.794056,7,t8,6,7
630,-18.842102,-28.91767,6,t7,3,6
631,-37.816494,-10.54344,2,t3,1,2
632,-6.295244,-9.652496,3,t4,2,3
633,0.3214199,12.843796,3,t4,2,3
634,11.6132765,36.66171,1,t2,4,1
635,-15.80325,-29.896046,6,t7,3,6
636,0.8544514,13.866085,3,t4,2,3
637,0.03603181,10.511328,7,t8,2,3
638,-43.865562,-3.1373863,2,t3,1,2
639,-0.041158006,11.273056,7,t8,2,3
640,28.78025,-12.602654,5,t6,0,5
641,-35.893127,23.599747,0,t1,5,0
642,-41.040073,3.813176,2,t3,1,2
643,16.693394,-36.52106,7,t8,6,7
644,-6.6782494,-12.980786,3,t4,2,3
645,-24.433208,21.333765,0,t1,5,0
646,35.493122,19.771662,4,t5,7,4
647,17.335272,-36.775593,7,t8,6,7
648,-43.792423,-6.918808,2,t3,1,2
649,15.932547,31.096876,1,t2,4,1
650,19.018795,22.038282,4,t5,7,4
651,-39.2189,-7.2767453,2,t3,1,2
652,-0.567622,13.632345,3,t4,2,3
653,-38.950382,-0.93811244,2,t3,1,2
654,38.754963,8.3583145,4,t5,7,4
655,33.6583,-14.312218,5,t6,0,5
656,11.300553,34.007164,1,t2,4,1
657,23.49059,-8.936147,5,t6,0,5
658,5.140107,-34.967926,7,t8,6,7
659,18.95228,-2.5100424,5,t6,0,5
660,36.459896,12.016564,4,t5,7,4
661,-7.1389956,-8.344838,3,t4,2,3
662,-5.5857677,-2.8406947,7,t8,2,3
663,-31.039377,19.656416,0,t1,5,0
664,31.960052,-11.853681,5,t6,0,5
665,-19.793087,23.750326,0,t1,5,0
666,-10.558732,-19.430676,6,t7,3,6
667,15.035904,33.964554,1,t2,4,1
668,34.791622,19.777143,4,t5,7,4
669,-33.59139,-14.814287,6,t7,1,2
670,1.5323972,45.378387,1,t2,4,1
671,5.301497,-35.050743,7,t8,6,7
672,11.325556,-32.016808,7,t8,6,7
673,16.22393,30.567139,1,t2,4,1
674,-12.082652,-21.353745,6,t7,3,6
675,-34.305035,-14.331379,6,t7,1,2
676,-44.168026,-2.0636394,2,t3,1,2
677,33.9091,16.239914,4,t5,7,4
678,-44.560047,-5.4227567,2,t3,1,2
679,5.234016,-34.234806,7,t8,6,7
680,34.836514,20.37557,4,t5,7,4
681,-13.424819,-29.224072,6,t7,3,6
682,-41.087654,4.586482,2,t3,1,2
683,-14.694368,-32.817295,6,t7,3,6
684,-4.761391,3.0298932,3,t4,2,3
685,-15.575507,-29.44517,6,t7,3,6
686,23.657085,-8.4186535,5,t6,0,5
687,-6.8084025,-9.416756,3,t4,2,3
688,18.353777,27.21653,4,t5,7,4
689,-40.19334,-6.6892815,2,t3,1,2
690,-2.2972362,4.2689433,3,t4,2,3
691,-6.4730043,-9.943756,3,t4,2,3
692,-4.591363,3.563417,3,t4,2,3
693,-6.359455,-14.030047,3,t4,2,3
694,18.769836,23.127604,4,t5,7,4
695,-6.9255586,-13.715821,3,t4,2,3
696,-45.4339,-0.48342443,2,t3,1,2
697,19.48386,-37.275288,7,t8,6,7
698,-13.291011,-29.639017,6,t7,3,6
699,18.609968,-1.527851,5,t6,0,5
700,-20.02292,-30.84562,6,t7,3,6
701,9.825543,33.743725,1,t2,4,1
702,0.81217664,12.33412,3,t4,2,3
703,-17.40345,-34.637794,6,t7,3,6
704,4.1659403,-14.31777,3,t4,2,3
705,40.040974,-12.823235,5,t6,0,5
706,11.553507,-29.662956,7,t8,6,7
707,14.357251,32.749146,1,t2,4,1
708,1.8849087,45.090916,1,t2,4,1
709,2.2611635,38.913765,1,t2,4,1
710,-43.672794,-9.842245,2,t3,1,2
711,-43.85596,-8.784461,2,t3,1,2
712,-16.151943,-33.404198,6,t7,3,6
713,18.114382,28.095196,4,t5,4,1
714,16.101068,30.01472,1,t2,4,1
715,8.5145645,-35.77298,7,t8,6,7
716,-43.948982,-6.8440323,2,t3,1,2
717,-7.3856196,-8.898754,3,t4,2,3
718,-21.033247,22.003767,0,t1,5,0
719,35.03021,19.589613,4,t5,7,4
720,-32.132862,-13.882826,6,t7,3,6
721,36.350048,12.010283,4,t5,7,4
722,8.765348,-35.395252,7,t8,6,7
723,24.715971,-8.474051,5,t6,0,5
724,37.065342,7.850253,4,t5,7,4
725,-0.022858027,11.039387,7,t8,2,3
726,-2.5462298,4.763721,3,t4,2,3
727,5.279828,-34.06703,7,t8,6,7
728,-34.20517,-7.910138,2,t3,1,2
729,-6.098926,2.5839932,3,t4,2,3
730,-42.17939,1.1344657,2,t3,1,2
731,-6.4842734,2.6921742,3,t4,2,3
732,42.626034,-7.396248,5,t6,0,5
733,15.176091,33.222404,1,t2,4,1
734,8.180548,39.387108,1,t2,4,1
735,4.9416437,-12.995709,3,t4,2,3
736,-29.243237,14.278497,0,t1,5,0
737,-4.960324,-2.631011,7,t8,2,3
