typology,curve,candidate_frame,window_start,window_end
b2,curve_85,22,19,25
b2,curve_85,23,20,26
b2,curve_86,7,4,10
b2,curve_86,8,5,11
b2,curve_86,9,6,12
b2,curve_86,10,7,13
b2,curve_86,21,18,24
b2,curve_86,22,19,25
b2,curve_86,23,20,26
b2,curve_86,24,21,27
b2,curve_87,7,4,10
b2,curve_87,8,5,11
b2,curve_87,9,6,12
b2,curve_87,21,18,24
b2,curve_87,22,19,25
b2,curve_87,23,20,26
b2,curve_87,24,21,27
b2,curve_88,6,3,9
b2,curve_88,7,4,10
b2,curve_88,8,5,11
b2,curve_88,9,6,12
b2,curve_88,10,7,13
b2,curve_88,11,8,14
b2,curve_88,21,18,24
b2,curve_88,22,19,25
b2,curve_88,23,20,26
b2,curve_88,24,21,27
b2,curve_89,6,3,9
b2,curve_89,7,4,10
b2,curve_89,8,5,11
b2,curve_89,9,6,12
b2,curve_89,21,18,24
b2,curve_89,22,19,25
b2,curve_89,23,20,26
b2,curve_90,7,4,10
b2,curve_90,8,5,11
b2,curve_90,9,6,12
b2,curve_90,10,7,13
b2,curve_90,21,18,24
b2,curve_90,22,19,25
b2,curve_90,23,20,26
b2,curve_90,24,21,27
b2,curve_91,5,2,8
b2,curve_91,6,3,9
b2,curve_91,7,4,10
b2,curve_91,8,5,11
b2,curve_91,19,16,22
b2,curve_91,20,17,23
b2,curve_91,21,18,24
b2,curve_91,22,19,25
b2,curve_91,23,20,26
b2,curve_91,24,21,27
b2,curve_92,7,4,10
b2,curve_92,8,5,11
b2,curve_92,9,6,12
b2,curve_92,10,7,13
b2,curve_92,21,18,24
b2,curve_92,22,19,25
b2,curve_92,23,20,26
b2,curve_92,24,21,27
b2,curve_92,25,22,28
b2,curve_93,5,2,8
b2,curve_93,6,3,9
b2,curve_93,7,4,10
b2,curve_93,19,16,22
b2,curve_93,20,17,23
b2,curve_93,21,18,24
b2,curve_93,22,19,25
b2,curve_94,5,2,8
b2,curve_94,6,3,9
b2,curve_94,7,4,10
b2,curve_94,8,5,11
b2,curve_94,9,6,12
b2,curve_94,10,7,13
b2,curve_94,20,17,23
b2,curve_94,21,18,24
b2,curve_94,22,19,25
b2,curve_95,5,2,8
b2,curve_95,6,3,9
b2,curve_95,7,4,10
b2,curve_95,8,5,11
b2,curve_95,19,16,22
b2,curve_95,20,17,23
b2,curve_95,21,18,24
b2,curve_95,22,19,25
b2,curve_96,6,3,9
b2,curve_96,7,4,10
b2,curve_96,8,5,11
b2,curve_96,9,6,12
b2,curve_96,20,17,23
